Comments Count,Reactions Count,Shares Count,id_date,id_post
1.0,121,6.0,1000,1000
10.0,138,26.0,1001,1001
9.0,91,6.0,1002,1002
31.0,101,2.0,1003,1003
9.0,71,2.0,1004,1004
4.0,205,28.0,1005,1005
19.0,264,13.0,1006,1006
9.0,58,8.0,1007,1007
1.0,53,5.0,1008,1008
36.0,545,23.0,1009,1009
36.0,436,229.0,1010,1010
275.0,452,15.0,1011,1011
8.0,239,8.0,1012,1012
13.0,303,41.0,1013,1013
7.0,181,27.0,1014,1014
15.0,198,23.0,1015,1015
13.0,117,17.0,1016,1016
4.0,92,8.0,1017,1017
,49,3.0,1018,1018
3.0,68,3.0,1019,1019
13.0,71,1.0,1020,1020
9.0,160,5.0,1021,1021
22.0,51,3.0,1022,1022
1.0,84,21.0,1023,1023
3.0,51,2.0,1024,1024
1.0,84,3.0,1025,1025
6.0,48,3.0,1026,1026
1.0,86,11.0,1027,1027
9.0,120,1.0,1028,1028
7.0,38,,1029,1029
3.0,124,44.0,1030,1030
8.0,72,10.0,1031,1031
5.0,62,2.0,1032,1032
8.0,99,26.0,1033,1033
3.0,52,5.0,1034,1034
6.0,57,10.0,1035,1035
,77,6.0,1036,1036
9.0,76,7.0,1037,1037
6.0,72,2.0,1038,1038
7.0,107,24.0,1039,1039
1.0,88,23.0,1040,1040
9.0,56,,1041,1041
26.0,384,17.0,1042,1042
1.0,68,10.0,1043,1043
10.0,139,27.0,1044,1044
2.0,73,4.0,1045,1045
4.0,85,15.0,1046,1046
1.0,70,1.0,1047,1047
6.0,116,26.0,1048,1048
,58,11.0,1049,1049
19.0,260,4.0,1050,1050
22.0,83,,1051,1051
,71,63.0,1052,1052
12.0,279,85.0,1053,1053
6.0,104,19.0,1054,1054
,84,6.0,1055,1055
3.0,148,47.0,1056,1056
2.0,78,1.0,1057,1057
,69,4.0,1058,1058
1.0,64,2.0,1059,1059
4.0,80,15.0,1060,1060
2.0,100,6.0,1061,1061
1.0,60,2.0,1062,1062
1.0,100,22.0,1063,1063
7.0,59,7.0,1064,1064
1.0,75,,1065,1065
6.0,90,2.0,1066,1066
9.0,199,68.0,1067,1067
9.0,59,22.0,1068,1068
,59,4.0,1069,1069
2.0,140,37.0,1070,1070
3.0,28,,1071,1071
19.0,152,3.0,1072,1072
4.0,76,10.0,1073,1073
1.0,64,10.0,1074,1074
2.0,112,36.0,1075,1075
1.0,72,12.0,1076,1076
,21,1.0,1077,1077
7.0,98,15.0,1078,1078
1.0,174,22.0,1079,1079
2.0,78,20.0,1080,1080
18.0,182,3.0,1081,1081
19.0,149,5.0,1082,1082
,39,4.0,1083,1083
,81,13.0,1084,1084
10.0,104,10.0,1085,1085
16.0,94,2.0,1086,1086
,73,1.0,1087,1087
1.0,102,10.0,1088,1088
,62,,1089,1089
29.0,508,33.0,1090,1090
4.0,86,8.0,1091,1091
3.0,69,4.0,1092,1092
81.0,161,3.0,1093,1093
,80,4.0,1094,1094
2.0,33,6.0,1095,1095
3.0,136,17.0,1096,1096
5.0,32,8.0,1097,1097
4.0,38,1.0,1098,1098
,13,3.0,1099,1099
2.0,71,20.0,1100,1100
,1,,1101,1101
